Species,Scientific_name,Place,Date,Start_time,End_time,Count,List_type
White-spectacled Bulbul,Pycnonotus xanthopygos,Km2 saltpans,01/04/2019,17:50,18:09,Present,Complete
White-spectacled Bulbul,Pycnonotus xanthopygos,Ezuz grove picnic area,01/04/2019,10:05,11:00,Present,Complete
White-spectacled Bulbul,Pycnonotus xanthopygos,Nizzana,01/04/2019,07:25,09:59,Present,Complete
White-spectacled Bulbul,Pycnonotus xanthopygos,IBRCE,31/03/2019,17:20,19:30,Present,Complete
White-spectacled Bulbul,Pycnonotus xanthopygos,Yotvata circular fields,31/03/2019,06:15,09:45,c10,Complete
White-spectacled Bulbul,Pycnonotus xanthopygos,"South Beach, Eilat",30/03/2019,17:40,17:40,Present,Incomplete
White-spectacled Bulbul,Pycnonotus xanthopygos,Km20 saltpans,29/03/2019,16:45,18:30,Present,Complete
White-spectacled Bulbul,Pycnonotus xanthopygos,"South Beach, Eilat",29/03/2019,14:20,14:50,Present,Complete
White-spectacled Bulbul,Pycnonotus xanthopygos,"Holland Park, Eilat",29/03/2019,06:45,07:40,Present,Complete
White-spectacled Bulbul,Pycnonotus xanthopygos,IBRCE,28/03/2019,15:00,15:49,Present,Complete
White-spectacled Bulbul,Pycnonotus xanthopygos,Yotvata circular fields,28/03/2019,12:50,13:45,Present,Complete
